experiment,method,n_povs,noise_strength,n_samples,unified_score_mean,unified_score_std,mean_bbox_iou_mean,mean_bbox_iou_std,detection_f1_mean,detection_f1_std,count_accuracy_mean,count_accuracy_std
DN-Large,refinement,4,0.5,192,0.37305539416974104,0.10286294815017262,0.09618303612611868,0.13468993492887976,0.4506995017495536,0.19591827568625567,0.1560019841269841,0.25276761778407897
DN-Large,refinement,4,0.8,192,0.3881605772747027,0.11394042770221831,0.104386084576417,0.14535541976845062,0.4583649772608192,0.20218458035040346,0.1985739087301587,0.28417091878160844
DN-Large,refinement,5,0.5,192,0.3801661423868594,0.11575839260707517,0.09371123043101659,0.12868857291092195,0.4580183703103305,0.20813817825076064,0.17757936507936503,0.28357867433082223
DN-Large,refinement,5,0.8,192,0.39104772103194724,0.1160088958953291,0.10031666735065818,0.1451950922830708,0.4755837866179771,0.20727845094899996,0.17395833333333333,0.27986980525553007
DN-Large,refinement,6,0.5,192,0.3738760212734169,0.11102588972563114,0.09446824543938205,0.12825497837275446,0.45327649013336035,0.20818796269403858,0.16548239087301586,0.2700563475642012
DN-Large,refinement,6,0.8,192,0.3907914345639871,0.12239992169961636,0.10218615501333361,0.13914266355467064,0.46988538411471925,0.20927754913356056,0.19428943452380953,0.2951221749457715
DN-Large,refinement,7,0.5,192,0.3822636621969672,0.12029964960115025,0.0934765906691936,0.12869295411366838,0.4669106747197125,0.21986258405929504,0.1818390376984127,0.28672394546423036
DN-Large,refinement,7,0.8,192,0.38674881288309054,0.11954861169609411,0.1061125120673637,0.14217395831677082,0.46170391495752616,0.20692288510472073,0.1813492063492063,0.28966889252913336
DN-Large,accumulation,0,,192,0.36143087211125396,0.11067424068350237,0.09274514378595143,0.13145117207324283,0.4248972958785478,0.20821835458540858,0.13033854166666667,0.2599599427021466
DN-Large,accumulation,1,,192,0.4032222074534504,0.14420658242044646,0.1450201527764282,0.21242712400957073,0.4638369502289487,0.23225985311014627,0.17385912698412698,0.2905407044785137
DN-Large,accumulation,2,,192,0.40110972798392036,0.12738698889645342,0.11938938612662438,0.17685967020540047,0.48717127333967064,0.23511380318214303,0.19298115079365077,0.28896554410526953
DN-Large,accumulation,3,,192,0.3870828161797128,0.11997025494536587,0.12461763904185774,0.18341262110366724,0.4370406749950632,0.21640815790692736,0.15772569444444443,0.24032664759325456
DN-Large,accumulation,4,,192,0.3800560933450692,0.10540390020733204,0.11613911312194858,0.14433695171655794,0.4352607924300102,0.20895271631546547,0.14520709325396827,0.2266505325086456
DN-Large,accumulation,5,,192,0.3869649933579981,0.11028099033773238,0.11702969502424619,0.17821806260261117,0.44865633108699604,0.21166121193435553,0.1628410218253968,0.24110606069652826
DN-Large,accumulation,6,,192,0.37663274166876265,0.10656682006425965,0.11647529245634507,0.16288452994059727,0.4335665311971881,0.2059272732131175,0.13389136904761903,0.2115886779719
DN-Large,accumulation,7,,192,0.37226162336123725,0.11316328117391218,0.11832826246999013,0.1632016765593457,0.43232232524666897,0.20752961501134862,0.1413876488095238,0.22882129545755137
DN-Large,refinement,0,0.5,192,0.36143087211125396,0.11067424068350237,0.09274514378595143,0.13145117207324283,0.4248972958785478,0.20821835458540858,0.13033854166666667,0.2599599427021466
DN-Large,refinement,0,0.8,192,0.36143087211125396,0.11067424068350237,0.09274514378595143,0.13145117207324283,0.4248972958785478,0.20821835458540858,0.13033854166666667,0.2599599427021466
DN-Large,refinement,1,0.5,192,0.3617387773502081,0.10290644195361617,0.09359422326753038,0.13167696255591016,0.4308617319389332,0.1961587147861516,0.13224826388888888,0.24888461239546997
DN-Large,refinement,1,0.8,192,0.37282343934323264,0.10292693635317772,0.09823200916682857,0.1372424838363057,0.44526385772359206,0.19977890999380876,0.13695436507936506,0.2482436982362945
DN-Large,refinement,2,0.5,192,0.37157604790041815,0.10325323821275087,0.09270981678082994,0.13128722572655424,0.4483218329222703,0.20026878904171724,0.14711061507936507,0.24663119125046132
DN-Large,refinement,2,0.8,192,0.3783831672831764,0.11904077225460427,0.10074050660934424,0.14357974191623557,0.4528671987737983,0.21555515873976466,0.17544022817460317,0.28234402191224434
DN-Large,refinement,3,0.5,192,0.37306607430313754,0.10441074449064097,0.09446110878510083,0.13130050231092713,0.44966456648717146,0.19731774838401223,0.16572420634920634,0.2602505735839235
DN-Large,refinement,3,0.8,192,0.37720951901040617,0.10399163158950503,0.10442816645577642,0.14679778225405185,0.4501511258346267,0.19145614998051333,0.15489831349206348,0.2516941015348957
DN-Large,refinement,4,0.5,192,0.37305539416974104,0.10286294815017262,0.09618303612611868,0.13468993492887976,0.4506995017495536,0.19591827568625567,0.1560019841269841,0.25276761778407897
DN-Large,refinement,4,0.8,192,0.3881605772747027,0.11394042770221831,0.104386084576417,0.14535541976845062,0.4583649772608192,0.20218458035040346,0.1985739087301587,0.28417091878160844
DN-Large,refinement,5,0.5,192,0.3801661423868594,0.11575839260707517,0.09371123043101659,0.12868857291092195,0.4580183703103305,0.20813817825076064,0.17757936507936503,0.28357867433082223
DN-Large,refinement,5,0.8,192,0.39104772103194724,0.1160088958953291,0.10031666735065818,0.1451950922830708,0.4755837866179771,0.20727845094899996,0.17395833333333333,0.27986980525553007
DN-Large,refinement,6,0.5,192,0.3738760212734169,0.11102588972563114,0.09446824543938205,0.12825497837275446,0.45327649013336035,0.20818796269403858,0.16548239087301586,0.2700563475642012
DN-Large,refinement,6,0.8,192,0.3907914345639871,0.12239992169961636,0.10218615501333361,0.13914266355467064,0.46988538411471925,0.20927754913356056,0.19428943452380953,0.2951221749457715
DN-Large,refinement,7,0.5,192,0.3822636621969672,0.12029964960115025,0.0934765906691936,0.12869295411366838,0.4669106747197125,0.21986258405929504,0.1818390376984127,0.28672394546423036
DN-Large,refinement,7,0.8,192,0.38674881288309054,0.11954861169609411,0.1061125120673637,0.14217395831677082,0.46170391495752616,0.20692288510472073,0.1813492063492063,0.28966889252913336
DN-Large (Graph),accumulation,0,,192,0.3393116715992735,0.1099459058208554,0.08846141572907253,0.13909763493208666,0.38398527432457547,0.21306635003313595,0.12020709325396824,0.21344207857921133
DN-Large (Graph),accumulation,1,,192,0.3364345270428201,0.08610163381858274,0.07511996572607992,0.12107042835317636,0.3759589910744186,0.20082053429995825,0.10359002976190475,0.19451242283786963
DN-Large (Graph),accumulation,2,,192,0.34769128406786437,0.09150989540447826,0.07116308671890488,0.1271613917048075,0.3920820007035588,0.1956379638340766,0.11130952380952379,0.21267120809240034
DN-Large (Graph),accumulation,3,,192,0.33747223588619263,0.07826388164296147,0.06529907404391393,0.11428455616820106,0.3606832085675509,0.16794325606858931,0.09409722222222222,0.16292915625489854
DN-Large (Graph),accumulation,4,,192,0.3450382217298789,0.09466447818153698,0.07631756414737308,0.1176338967746105,0.3919471291416736,0.19853851269805922,0.09799107142857143,0.19600878835463176
DN-Large (Graph),accumulation,5,,192,0.34152780786179715,0.08578087423173332,0.0844966627090314,0.1339876688798822,0.3771088375137124,0.16934292628646477,0.11103050595238094,0.20365583630645567
DN-Large (Graph),accumulation,6,,192,0.3477456635813811,0.09074295367714182,0.08716671529438107,0.1366323288888824,0.38415196657683454,0.1885979294886496,0.09706721230158731,0.18092215202684458
DN-Large (Graph),accumulation,7,,192,0.34917408530234767,0.10056585875204374,0.088153903361521,0.13021526474109504,0.3919680384739917,0.20076856595198284,0.11101810515873016,0.2184703951235182
DN-Large (Graph),refinement,0,0.5,192,0.3393116715992735,0.1099459058208554,0.08846141572907253,0.13909763493208666,0.38398527432457547,0.21306635003313595,0.12020709325396824,0.21344207857921133
DN-Large (Graph),refinement,0,0.8,192,0.3393116715992735,0.1099459058208554,0.08846141572907253,0.13909763493208666,0.38398527432457547,0.21306635003313595,0.12020709325396824,0.21344207857921133
DN-Large (Graph),refinement,1,0.5,192,0.339575058948321,0.11037890532851741,0.09305290322547073,0.13981289979809808,0.39102551939494606,0.21305639179824618,0.12781498015873013,0.21109930566774757
DN-Large (Graph),refinement,1,0.8,192,0.34232390653299466,0.10365268179983161,0.0895360236529979,0.13665964481612233,0.38827984351150496,0.19792880143262148,0.10884796626984126,0.21083795794817606
DN-Large (Graph),refinement,2,0.5,192,0.34014546172103716,0.11223169694739504,0.09285705002936002,0.140245287081821,0.39466227762863193,0.21031016237969516,0.1276971726190476,0.22874639220530893
